Dataset,Method,NumSelected,AccuracyMean,AccuracyStd
coil20,ICLFS,250,0.6816666666666666,0.031224835547017254
allaml,ICLFS,100,0.6659722222222222,0.012008066990132365
arcene,ICLFS,250,0.6517499999999999,0.012070107704573322
basehock,ICLFS,200,0.5161816357250377,0.007901464559772036
lung,ICLFS,300,0.6839901477832512,0.07122060773844535
nci9,ICLFS,150,0.51,0.045460605656619524
pcmac,ICLFS,50,0.5190941842511579,0.011744584820835784
prostate,ICLFS,50,0.8333333333333334,0.0
relathe,ICLFS,200,0.5554660126138751,0.011843390149648608
warppie10p,ICLFS,50,0.43,0.037619047619047614
