Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
LS,250,0.5907642857142857,0.062385802201514816,0.03777677476065437,0.03261185016007017
LS,100,0.5871357142857142,0.075342868993444,0.04724681794498555,0.04560436251332556
LS,150,0.5847928571428571,0.06752666102347718,0.03971976224475483,0.031805049937752045
LS,300,0.5417428571428571,0.026418554086096394,0.009007491689064869,0.006491932652355671
LS,50,0.5156642857142858,0.02139708520107449,0.005251538182325885,0.012343956020868473
LS,200,0.5054928571428573,0.003524976479875218,0.0017385486033081713,0.005617954198031511
MCFS,150,0.6387428571428571,0.09141945936736014,0.10487644494638063,0.07003217087914758
MCFS,250,0.6163928571428572,0.07494731312660889,0.0636861084488571,0.05857970027704508
MCFS,300,0.6122357142857144,0.09167055338080411,0.07247818497946976,0.06584497633007161
MCFS,100,0.6002714285714286,0.08235621855509077,0.056028193180210094,0.05023276535509009
MCFS,200,0.5998571428571429,0.07899301183248647,0.0590154548349575,0.05421001266473698
MCFS,50,0.5772642857142858,0.0776519350061805,0.04592939666044015,0.05685451542748784
NDFS,300,0.6212928571428572,0.06195468184117175,0.0677191636511346,0.03857092321198557
NDFS,100,0.5986642857142856,0.07996343903080116,0.07161972498387197,0.05837497224391145
NDFS,150,0.5898142857142857,0.08435696867043828,0.05258628748261616,0.05183986008113877
NDFS,250,0.5842857142857144,0.06665976664972596,0.03999508520739541,0.030490595231902402
NDFS,200,0.5762428571428573,0.07584011242779921,0.03966942058036542,0.0533190038972567
NDFS,50,0.5521785714285714,0.06504150754773164,0.031228578071186425,0.0495782973498787
CAE,50,0.5650714285714286,0.0004437778447716878,0.012274300651116513,0.00015970761825306363
CAE,250,0.5641142857142858,0.0005279919603593068,0.011898493235538227,0.00019427552219320366
CAE,100,0.5632714285714286,0.0013400426432447164,0.011602661285485807,0.0004994727521166685
CAE,300,0.5530928571428573,0.00014480810666220577,0.008169800158202544,4.493054059137572e-05
CAE,150,0.5425357142857142,0.000988582782758897,0.00523925894669643,0.00023979517341662465
CAE,200,0.5423857142857142,0.0021519331603306515,0.00520541520662518,0.0005082045486328405
LSCAE,200,0.7598142857142858,0.0022053275012467173,0.21940890881042874,0.0036649707077140836
LSCAE,300,0.7281500000000001,0.003713591968178852,0.16251934007561872,0.00546239491506858
LSCAE,150,0.7109785714285715,0.0028962590226930133,0.14485261262682517,0.0039021137589193423
LSCAE,250,0.6700714285714285,0.0027084523783360596,0.08934534998732124,0.0031151963027315167
LSCAE,100,0.6432857142857142,0.0008921425711997615,0.068573897697925,0.000758574178857214
LSCAE,50,0.5564642857142857,0.0037519722704688835,0.009445060622207891,0.001265032136209225
