Method,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
LS,150,0.4909356725146199,0.02961600050756497,0.3079650873762419,0.029169049587805584
LS,300,0.47894736842105257,0.03802968535178739,0.2829551375168328,0.03962314781441989
LS,100,0.4769005847953217,0.03850223294555858,0.26265007774849036,0.03319582478868226
LS,200,0.4681286549707602,0.03602429367747805,0.27609423684150586,0.04659084700451982
LS,50,0.4605263157894736,0.04284897920980364,0.196397231646355,0.04782411760676621
LS,250,0.4596491228070175,0.026178981620584088,0.27199877898617886,0.04138656088615977
MCFS,200,0.4730994152046783,0.031757132122539104,0.24645405452199767,0.03778883455415708
MCFS,50,0.4681286549707602,0.03616641124036853,0.27427996921897185,0.032091271835144285
MCFS,150,0.46169590643274844,0.040111801281311144,0.24058719188583771,0.05848701475669385
MCFS,100,0.4561403508771929,0.046158098855371026,0.25135547822060406,0.04862322136110075
MCFS,300,0.45438596491228067,0.02699576347972817,0.2364339828024547,0.04591492807210558
MCFS,250,0.45263157894736833,0.03145959685687197,0.22503866819869742,0.047780769918348974
NDFS,200,0.4707602339181286,0.03417426978640231,0.26162995868311956,0.03261408817817869
NDFS,100,0.4581871345029239,0.03406275879228161,0.20442065727172237,0.03715424975280267
NDFS,300,0.45321637426900574,0.01739704652706844,0.2481760486513366,0.031153096131249128
NDFS,250,0.4374269005847952,0.016395141250147585,0.20620695594079877,0.02616146522312948
NDFS,150,0.43157894736842095,0.03846335357287801,0.18694540627625944,0.05091539789883194
NDFS,50,0.4178362573099415,0.0443626131855515,0.0991419749986541,0.04468461916115385
CAE,300,0.502046783625731,0.037685283180308136,0.29202869726545216,0.030151499505002552
CAE,50,0.47514619883040937,0.030097080818472188,0.23580518400197165,0.031804408111622294
CAE,150,0.44649122807017544,0.025374659180874434,0.18729642786718267,0.03511751172467488
CAE,200,0.44561403508771924,0.04219451229835661,0.15248390544829643,0.04257493487924341
CAE,250,0.41432748538011693,0.019331444065573796,0.15940449214772695,0.03125206869820724
CAE,100,0.404093567251462,0.031432408538892835,0.12556874385483455,0.034088753611481705
LSCAE,50,0.4976608187134503,0.02882157083123183,0.251467784069061,0.034893058141921784
LSCAE,250,0.47280701754385956,0.03446201360915929,0.27928917338929726,0.03961331350725761
LSCAE,300,0.4461988304093567,0.03219562481520657,0.22021541649406257,0.03538845257955656
LSCAE,100,0.4394736842105263,0.012715096435765438,0.18232516560453632,0.018910348060128992
LSCAE,150,0.41959064327485374,0.031916915754856744,0.1663249077194442,0.05323514354114629
LSCAE,200,0.41140350877192977,0.027632739231185404,0.14983307484035355,0.04173505279455426
