Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
allaml,ICL,0.35,100,512,1,0.03,300,0.7333333333333332,0.005555555555555581,0.16304255826918537,0.0060754439001268765
allaml,ICL,0.3,100,512,1,0.03,100,0.73125,0.006624577787617708,0.1607642668066378,0.007244505127925608
allaml,ICL,0.3,100,512,1,0.03,300,0.73125,0.006624577787617708,0.1607642668066378,0.007244505127925607
allaml,ICL,0.25,100,512,1,0.03,300,0.7298611111111112,0.011176025652382703,0.15946394053962687,0.011801511300427375
allaml,ICL,0.35,100,512,1,0.03,250,0.7298611111111111,0.006909634979907113,0.15406822904627432,0.013279822234434979
allaml,ICL,0.45,100,512,1,0.03,200,0.7291666666666666,0.006944444444444475,0.1527335566937216,0.01334672352552724
allaml,ICL,0.95,100,512,1,0.05,300,0.7284722222222222,0.009291033444624775,0.1509727755192222,0.010907447468341684
allaml,ICL,0.3,100,512,1,0.05,300,0.7277777777777776,0.0068041381743977475,0.15006421198861616,0.013077064950216762
allaml,ICL,0.45,100,512,1,0.03,150,0.7263888888888889,0.011702985796078286,0.1557214217790528,0.012378569508391082
allaml,ICL,0.25,100,512,1,0.05,300,0.7263888888888888,0.006364688465216472,0.1473948672835107,0.01223247416707529
allaml,ICL,0.95,100,512,1,0.05,250,0.7256944444444444,0.010645631747747158,0.14747595310290793,0.01120779618348886
allaml,ICL,0.25,100,512,1,0.03,250,0.7236111111111111,0.02055367859298438,0.15349233501377396,0.020326862339022866
allaml,ICL,0.45,100,512,1,0.03,250,0.7236111111111109,0.004166666666666685,0.14608287092855787,0.00852898225577259
allaml,ICL,0.35,100,512,1,0.03,200,0.7229166666666667,0.021728455343280596,0.14718629454579019,0.01861562456159728
allaml,ICL,0.15,100,512,1,0.02,300,0.7229166666666667,0.016710013077105523,0.14142071272980003,0.02590781603960635
allaml,ICL,0.45,100,512,1,0.03,300,0.7229166666666664,0.003027013155236592,0.14417295671096828,0.007240746619072412
allaml,ICL,0.25,100,512,1,0.03,200,0.7222222222222222,0.02151657414559677,0.15212250489605744,0.021155545599596565
allaml,ICL,0.3,100,512,1,0.03,50,0.7222222222222221,1.1102230246251565e-16,0.15089167046893165,0.0
allaml,ICL,0.25,100,512,1,0.05,200,0.7222222222222221,1.1102230246251565e-16,0.1439887680884893,0.0056361961921090565
allaml,ICL,0.25,100,512,1,0.05,250,0.7222222222222221,1.1102230246251565e-16,0.14283828435841556,0.0052721787788780035
allaml,ICL,0.3,100,512,1,0.03,250,0.7208333333333333,0.007479395565464585,0.14326368368651524,0.008798919962958123
allaml,ICL,0.45,100,512,1,0.03,100,0.7194444444444443,0.010393492741038735,0.14022934621402722,0.01132405829119597
allaml,ICL,1.0,100,512,1,0.05,300,0.7180555555555556,0.006364688465216422,0.13516453516332702,0.006449666737988496
allaml,ICL,0.3,100,512,1,0.03,150,0.7180555555555553,0.009918650595198407,0.1468111207922352,0.009713651155080404
allaml,ICL,0.3,100,512,1,0.05,50,0.7180555555555553,0.006364688465216422,0.12985251377941603,0.005787369472429162
allaml,ICL,0.35,100,512,1,0.03,100,0.7173611111111111,0.016594171035206277,0.1413762397683384,0.01570190477188041
allaml,ICL,0.3,100,512,1,0.05,200,0.717361111111111,0.007948279959902483,0.13066002604053084,0.007213069011840971
allaml,ICL,0.95,100,512,1,0.05,100,0.7166666666666666,0.006804138174397692,0.13375710249503797,0.006894983769264243
allaml,ICL,1.0,100,512,1,0.05,100,0.7166666666666666,0.006804138174397692,0.13375710249503797,0.006894983769264243
allaml,ICL,1.0,100,512,1,0.05,150,0.7166666666666666,0.006804138174397692,0.13375710249503794,0.006894983769264243
allaml,ICL,0.3,100,512,1,0.05,150,0.7166666666666666,0.006804138174397692,0.1269885920871428,0.006754982115831875
allaml,ICL,0.35,100,512,1,0.03,50,0.7145833333333333,0.009291033444624749,0.14323772634422607,0.00921761746847378
allaml,ICL,0.35,100,512,1,0.03,150,0.7145833333333332,0.015512713822006016,0.1372920781606623,0.012563581073939751
allaml,ICL,0.3,100,512,1,0.05,250,0.713888888888889,0.006804138174397692,0.12511628106252334,0.011651857002231366
allaml,ICL,1.0,100,512,1,0.05,250,0.7138888888888889,0.009212846639876102,0.1262212895505933,0.009576754471623867
allaml,ICL,0.95,100,512,1,0.05,200,0.7125000000000001,0.006364688465216421,0.13298625568039177,0.011721845516866499
allaml,ICL,0.25,100,512,1,0.03,150,0.7124999999999998,0.015896559919804983,0.14155475863999165,0.01515759189817007
allaml,ICL,0.3,100,512,1,0.03,200,0.7118055555555555,0.018569086051556855,0.13477537624385177,0.015189720282845797
allaml,ICL,0.15,100,512,1,0.02,200,0.711111111111111,0.005555555555555536,0.13042833928202896,0.010231665593451332
allaml,ICL,0.15,100,512,1,0.02,100,0.7097222222222221,0.011536977587386218,0.13046085465834686,0.00827146000722054
allaml,ICL,0.25,100,512,1,0.05,100,0.7097222222222221,0.009722222222222222,0.12113926397192598,0.010020937904664061
allaml,ICL,0.25,100,512,1,0.05,150,0.7090277777777778,0.003027013155236568,0.12019026672351148,0.006343232676471294
allaml,ICL,0.25,100,512,1,0.03,100,0.7090277777777776,0.013519390509674857,0.1379452246283317,0.013241677546983197
allaml,ICL,0.25,100,512,1,0.03,50,0.7083333333333335,1.1102230246251565e-16,0.13679573425871847,0.0
allaml,ICL,0.15,100,512,1,0.02,250,0.7083333333333335,1.1102230246251565e-16,0.12703499065131557,0.004100332463624988
allaml,ICL,1.0,100,512,1,0.05,50,0.7083333333333335,1.1102230246251565e-16,0.1253125064853033,2.7755575615628914e-17
allaml,ICL,0.95,100,512,1,0.05,150,0.7083333333333335,1.1102230246251565e-16,0.1253125064853033,2.7755575615628914e-17
allaml,ICL,0.3,100,512,1,0.01,250,0.7083333333333335,1.1102230246251565e-16,0.1253125064853033,2.7755575615628914e-17
allaml,ICL,0.35,100,512,1,0.01,250,0.7083333333333335,1.1102230246251565e-16,0.1253125064853033,2.7755575615628914e-17
allaml,ICL,0.3,100,512,1,0.01,300,0.7083333333333335,1.1102230246251565e-16,0.1253125064853033,2.7755575615628914e-17
allaml,ICL,1.0,100,512,1,0.09,200,0.7083333333333335,1.1102230246251565e-16,0.11560257965874263,0.0
allaml,ICL,0.6,100,512,1,0.08,250,0.7083333333333335,1.1102230246251565e-16,0.1122984684398092,0.004046693269896145
allaml,ICL,0.6,100,512,1,0.08,200,0.7083333333333335,0.006211299937499418,0.11076460170311087,0.008698496391254423
allaml,ICL,0.3,100,512,1,0.05,100,0.7083333333333334,0.004392052305789418,0.1195436048623298,0.007356305118123486
allaml,ICL,0.25,100,512,1,0.05,50,0.7083333333333333,0.012422599874998837,0.11608176613900363,0.012105956981489016
allaml,ICL,1.0,100,512,1,0.09,300,0.7083333333333333,0.012422599874998837,0.11608176613900363,0.012105956981489016
allaml,ICL,0.45,100,512,1,0.03,50,0.7069444444444446,0.004166666666666686,0.13548496142860883,0.003932318490328902
allaml,ICL,1.0,100,512,1,0.05,200,0.7069444444444446,0.004166666666666686,0.11627231815944443,0.00990041515934338
allaml,ICL,0.6,100,512,1,0.08,150,0.7069444444444446,0.00605402631047317,0.10941057579706648,0.008356144109643063
allaml,ICL,0.15,100,512,1,0.02,150,0.7055555555555557,0.005555555555555581,0.12558563840120376,0.0081627879258145
allaml,ICL,1.0,100,512,1,0.09,250,0.7041666666666668,0.006364688465216472,0.11172260849165265,0.005926753855812
allaml,ICL,0.35,100,512,1,0.01,300,0.7027777777777778,0.0068041381743977475,0.11294469865710484,0.015147409207942811
allaml,ICL,0.2,100,512,1,0.01,300,0.701388888888889,0.012028130608117209,0.11906410815119328,0.01082254338060727
allaml,ICL,1.0,100,512,1,0.09,150,0.701388888888889,0.006944444444444475,0.10499778328677489,0.010604796371967727
allaml,ICL,0.6,100,512,1,0.08,300,0.7006944444444446,0.014877975892797633,0.10606765794263376,0.011855200604908928
allaml,ICL,0.6,100,512,1,0.08,100,0.7006944444444445,0.006909634979907114,0.09871631043075202,0.012360508137156171
allaml,ICL,0.95,100,512,1,0.05,50,0.6965277777777779,0.004959325297599223,0.10606581704263843,0.008085226773010733
allaml,ICL,0.35,100,512,1,0.01,200,0.6958333333333334,0.007479395565464599,0.1089087793710107,0.010277827223630713
allaml,ICL,0.3,100,512,1,0.01,150,0.6958333333333334,0.007479395565464599,0.10794330047971798,0.01036475650289404
allaml,ICL,1.0,100,512,1,0.09,100,0.695138888888889,0.003027013155236592,0.09835019098410971,0.005550423264628396
allaml,ICL,0.35,100,512,1,0.01,150,0.6944444444444444,0.009820927516479831,0.10774252612609632,0.010189315788899355
allaml,ICL,0.35,100,512,1,0.01,100,0.6944444444444444,0.0,0.10556577910898754,0.004424380101230996
allaml,ICL,0.15,100,512,1,0.02,50,0.69375,0.003027013155236568,0.11342845162951583,0.005035611863295177
allaml,ICL,0.2,100,512,1,0.01,250,0.6930555555555555,0.008673608331108884,0.10547820972107694,0.008390371014313456
allaml,ICL,0.3,100,512,1,0.01,200,0.6916666666666668,0.009419902754340646,0.10429257717306131,0.009471558243639561
