Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,ICL,0.55,100,512,1,0.05,200,0.691875,0.027157217596664663,0.7775088177636713,0.011630149671563596
coil20,ICL,0.15,100,512,1,0.05,200,0.6871180555555555,0.029889743217602224,0.7905325965759801,0.012996919902463523
coil20,ICL,0.15,100,512,1,0.05,300,0.6825694444444446,0.02829288029906613,0.7912901508033487,0.0102085410960202
coil20,ICL,0.15,100,512,1,0.07,200,0.6793402777777778,0.03940803961165728,0.7855427356189463,0.017161614071294035
coil20,ICL,0.35,100,512,1,0.04,200,0.6786805555555555,0.034322069237276404,0.779466377237347,0.01114689062011283
coil20,ICL,0.55,100,512,1,0.05,250,0.6765972222222222,0.030515361821527937,0.7735414802833047,0.014073853311438827
coil20,ICL,0.55,100,512,1,0.05,300,0.6757986111111112,0.032508809199048236,0.7684754847474207,0.01526495542431124
coil20,ICL,0.15,100,512,1,0.05,250,0.6754166666666668,0.0335657407279697,0.7870907488188339,0.01299020671401582
coil20,ICL,0.45,100,512,1,0.08,150,0.6747916666666667,0.03183488155533134,0.7693698982248022,0.017088297356509862
coil20,ICL,0.45,100,512,1,0.08,100,0.6735763888888889,0.026192134744111716,0.7658393248941017,0.015722919496114672
coil20,ICL,1.0,100,512,1,0.06,250,0.6734722222222221,0.037978937470103426,0.7687630886811456,0.017485912830285943
coil20,ICL,0.7,100,512,1,0.07,150,0.6734027777777778,0.02402025010534771,0.7609163860592003,0.010987346681027478
coil20,ICL,0.25,100,512,1,0.05,300,0.6725694444444444,0.039556216345136064,0.7755414558441549,0.017269352307867
coil20,ICL,0.15,100,512,1,0.07,150,0.6714583333333334,0.028508530372720824,0.7891606316470694,0.012540305714252516
coil20,ICL,0.4,100,512,1,0.06,250,0.6709722222222223,0.036341147647613974,0.7856543188372564,0.016124866871273166
coil20,ICL,0.95,100,512,1,0.04,250,0.6705902777777778,0.03004969119595445,0.7584523686850634,0.015185410585183785
coil20,ICL,0.7,100,512,1,0.07,100,0.6693749999999999,0.02817673568108938,0.7524216519943885,0.00926264209859383
coil20,ICL,0.9,100,512,1,0.02,200,0.6688541666666666,0.035247605070336974,0.776198101764058,0.015954060703874784
coil20,ICL,0.55,100,512,1,0.05,100,0.6685416666666667,0.03586864377811741,0.7623245296357853,0.016460841853525927
coil20,ICL,0.5,100,512,1,0.06,250,0.6671527777777778,0.029595964309261185,0.7717612627835255,0.01110279626392343
coil20,ICL,0.5,100,512,1,0.06,250,0.6671527777777778,0.029595964309261185,0.7717612627835255,0.01110279626392343
coil20,ICL,0.45,100,512,1,0.08,200,0.6660763888888889,0.0401418173431921,0.7714576560509949,0.020643633754572368
coil20,ICL,0.15,100,512,1,0.07,250,0.6655208333333332,0.04357619521869313,0.7837753361032631,0.016523740224577158
coil20,ICL,1.0,100,512,1,0.06,300,0.6651041666666667,0.03212199675518512,0.7671913016166215,0.016099975028932786
coil20,ICL,0.6,100,512,1,0.02,200,0.6649652777777777,0.027457770430637764,0.7576428749560026,0.010993132771592057
coil20,ICL,0.45,100,512,1,0.15,300,0.664861111111111,0.03245173885846908,0.7639331005643891,0.01797195020972314
coil20,ICL,0.25,100,512,1,0.05,200,0.6646527777777779,0.028350774179992665,0.7607996631466323,0.014028142015172544
coil20,ICL,0.15,100,512,1,0.07,300,0.6645486111111112,0.03267763288508244,0.7816595273607463,0.013382790015077384
coil20,ICL,0.45,100,512,1,0.08,250,0.6643055555555556,0.039001201904556734,0.7744665732515547,0.01649542389353246
