Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
allaml,ICL,0.35,100,512,1,0.03,300,0.7333333333333332,0.005555555555555581,0.16304255826918537,0.0060754439001268765
coil20,ICL,0.25,100,512,1,0.05,300,0.6725694444444444,0.039556216345136064,0.7755414558441549,0.017269352307867
arcene,ICL,0.3,100,512,1,0.05,50,0.67,0.0,0.09534650702614166,0.0
lung,ICL,0.3,100,512,1,0.03,150,0.6401477832512315,0.03727195945200532,0.549132684393314,0.03611304662629268
relathe,ICL,0.25,100,512,1,0.03,50,0.5571128241065171,1.1102230246251565e-16,0.02379423492168775,0.0
basehock,ICL,1.0,100,512,1,0.05,50,0.5513798294029101,0.04392556259767538,0.03635744287324222,0.02464200276448186
orl,ICL,1.0,100,512,1,0.09,300,0.5511250000000001,0.026070517351982094,0.7575839607131802,0.012361019865693502
pcmac,ICL,0.25,100,512,1,0.03,50,0.520380854348945,0.01599856175207483,0.01814237657016558,0.016143362824124312
nci9,ICL,1.0,100,512,1,0.09,300,0.5175,0.04757304325397362,0.5220464175579231,0.03468932086176962
warppie10p,ICL,0.35,100,512,1,0.03,50,0.5076190476190476,0.04417035666782944,0.5343109041837487,0.037611239389117854
