Dataset,TargetK,RejectionPoolMultiplier,EffectiveRejectionPoolSize,RidgeAlpha,MaxSwaps,LapPercentile,Neighbors,Protocol,NumSwaps,AccuracyMean,AccuracyStd
allaml,100,1.0,100,1.0,10,0.75,3,RidgeTestMSE,4,0.6722222222222224,0.022566773346211006
arcene,150,1.0,150,1.0,10,0.75,3,RidgeTestMSE,9,0.65475,0.01592757043619649
basehock,100,1.0,100,1.0,10,0.75,3,RidgeTestMSE,10,0.5234069242348219,0.009095878547010385
coil20,100,1.0,100,1.0,10,0.75,3,RidgeTestMSE,10,0.6879166666666666,0.029074258374032526
lung,300,1.0,300,1.0,10,0.75,3,RidgeTestMSE,6,0.6931034482758621,0.07285146378876269
nci9,100,1.0,100,1.0,10,0.75,3,RidgeTestMSE,1,0.5416666666666667,0.04518480570575321
pcmac,50,1.0,50,1.0,10,0.75,3,RidgeTestMSE,0,0.5225424601132269,0.013280130912669707
prostate,50,1.0,50,1.0,10,0.75,3,RidgeTestMSE,3,0.8544117647058824,0.011295802570395018
relathe,200,1.0,200,1.0,10,0.75,3,RidgeTestMSE,10,0.5571829011913103,0.013360486132967857
tox171,50,1.0,50,1.0,10,0.75,3,RidgeTestMSE,3,0.5517543859649122,0.04270507626578671
warppie10p,50,1.0,50,1.0,10,0.75,3,RidgeTestMSE,8,0.4633333333333334,0.0338095238095238
